,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,abs_contrast,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
0,,614.1164,613.2611,0.8,1.0,,-1.0,-1.0,613.9219768900605,-1.0,1.0,1.0,0,0.0,1.0,-1,0.8552999999999429,0.8552999999999429,1.0,-0.06788152797090657,11.132182547435665,5.496295148630937,0.5362374754199687,0.9998677769407948,3.90302678982971e-08,0.00013218402509420417,1,0
1,619.4878,619.9248,619.4696,0.8,,0.0625,1.0,-1.0,619.7479768900599,0.0625,1.0,1.0,0,1.0,1.0,1,0.4551999999999907,0.4551999999999907,0.0625,-0.3417977466129941,13.246625517603569,9.298935292412837,0.7458681874955444,0.9835604298457031,0.016304112966365174,0.0001354571843435852,1,0
2,623.3371,623.7339,623.3182999999999,0.8,0.125,,-1.0,-1.0,623.4759768900594,-0.125,1.0,1.0,0,0.0,1.0,-1,0.4156000000000404,0.4156000000000404,0.125,-0.381324461114818,12.578174105158022,9.701071345415272,0.8436545676238367,0.9643474076574785,0.035557782258447496,9.481008039832985e-05,1,0
3,629.8367999999999,630.1279,629.8200999999999,0.8,0.125,,1.0,1.0,629.7639768900588,-0.125,1.0,1.0,0,1.0,0.0,-1,0.30780000000004293,0.30780000000004293,0.125,-0.5117313845044795,14.59394079043674,10.974529115358989,0.9136329622268967,0.8039160678252937,0.19572133158457378,0.00036260058664632026,1,0
4,634.3701,634.599,634.355,0.8,,0.125,-1.0,1.0,634.3809768900583,0.125,1.0,1.0,0,0.0,0.0,1,0.2440000000000282,0.2440000000000282,0.125,-0.6126101736612204,13.617977931487182,10.410776698589325,1.9071463445289063,1.8638333747223788e-12,0.9927150698195318,0.007284930175133084,2,1
5,638.5031,639.0201000000001,638.4749,0.8,,0.25,1.0,-1.0,638.7179768900578,0.25,1.0,1.0,0,1.0,1.0,1,0.5452000000000226,0.5452000000000226,0.25,-0.26344415283734607,13.164311956741722,9.070594451824824,0.9173944892212187,0.9563491756759235,0.04249733747600815,0.0011534868446695821,1,1
6,644.1023,644.31,644.0722,0.8,0.0625,,1.0,1.0,644.0059768900572,-0.0625,1.0,1.0,0,1.0,0.0,-1,0.2377999999999929,0.2377999999999929,0.0625,-0.6237881497173402,13.887394507679831,10.726897342999775,0.8924932169546742,0.2170493367356785,0.782437259616636,0.0005134036441545409,2,1
7,648.6191,649.0381,648.6011,0.8,0.25,,1.0,1.0,648.7769768900566,-0.25,1.0,1.0,0,1.0,0.0,-1,0.4370000000000118,0.4370000000000118,0.25,-0.3595185630295664,12.529819608520848,9.746867353717485,0.9536246196631876,0.9223529745780543,0.07738094621189996,0.0002660792064748064,1,1
8,653.5519,653.9877,653.538,0.8,0.25,,1.0,1.0,653.7019768900561,-0.25,1.0,1.0,0,1.0,0.0,-1,0.4497000000000071,0.4497000000000071,0.25,-0.34707711243205125,12.739073879151622,11.031822713216146,1.1252963003333867,0.6873256573128215,0.3119245733227104,0.0007497693611027408,1,0
9,657.0849000000001,657.6249,657.0636000000001,0.8,,0.0,-1.0,1.0,657.4029768900557,0.0,0.0,0.75,1,0.0,0.0,1,0.5612999999999602,0.5612999999999602,0.0,-0.25080495778035844,12.666944126945983,10.557355109850565,1.490193591313383,0.006651763415331645,0.9835553755500738,0.009792861031341174,2,1
10,663.2676,663.6949999999999,663.2622,0.8,0.0,,1.0,1.0,663.4849768900551,-0.0,1.0,0.75,0,1.0,0.0,-1,0.43279999999992924,0.43279999999992924,0.0,-0.363712747901558,12.765645302753306,8.715107172727585,0.5274708370363121,0.9814590059964043,0.018328090015940948,0.000212903984312795,1,1
11,666.4678,667.5254,666.4471,0.8,0.0,,-1.0,-1.0,666.9039768900547,-0.0,0.0,0.75,1,0.0,1.0,-1,1.078300000000013,1.078300000000013,0.0,0.03273960520949856,13.768215179645633,10.477000908056896,1.7557608678517378,2.520872486457464e-08,0.9688378160537896,0.03116215873432832,2,1
12,673.0508,674.7261,673.0516,0.8,0.125,,1.0,1.0,673.415976890054,-0.125,1.0,1.0,0,1.0,0.0,-1,1.6744999999999663,1.6744999999999663,0.125,0.22388515187587693,12.944875960541845,10.078628625472387,1.049254954788457,1.3215500255165977e-12,0.43570368440922436,0.5642963155862558,0,1
13,679.1832,679.6738,679.1645000000001,0.8,0.0,,1.0,1.0,679.4699768900533,-0.0,1.0,0.75,0,1.0,0.0,-1,0.5092999999999392,0.5092999999999392,0.0,-0.2930263238238736,12.57536903334975,10.171717152992885,0.9002568934188987,0.8335358558388656,0.1658040559177674,0.0006600882402120293,1,1
14,683.2164,683.5288,683.2065,0.8,0.0,,-1.0,-1.0,683.3359768900528,-0.0,0.0,0.75,1,0.0,1.0,-1,0.3223000000000411,0.3223000000000411,0.0,-0.4917396944876101,12.73723767068554,10.995543320973715,0.7188432909051999,0.893678887838246,0.10629792730274376,2.3184855723880092e-05,1,0
15,687.9662,688.2786,687.9499999999999,0.8,0.25,,1.0,1.0,688.0489768900524,-0.25,1.0,1.0,0,1.0,0.0,-1,0.3286000000000513,0.3286000000000513,0.25,-0.4833324409008893,13.350008472327842,9.782094538211823,0.9026199282433172,0.880492319334793,0.11926863239881727,0.00023904826319673487,1,0
16,692.0328000000001,692.5716,692.0153,0.8,,0.0625,-1.0,1.0,692.2059768900519,0.0625,1.0,1.0,0,0.0,0.0,1,0.5562999999999647,0.5562999999999647,0.0625,-0.25469094005919957,13.41406449902839,9.840695447853355,0.9996284746503826,0.8541165352160421,0.14387008802458157,0.0020133767562691657,1,0
17,696.8991,697.3631,696.8842,0.8,0.125,,1.0,1.0,697.1469768900514,-0.125,1.0,1.0,0,1.0,0.0,-1,0.47890000000006694,0.47890000000006694,0.125,-0.3197551629573316,11.216660807194206,9.413868346810341,0.9833018854166085,0.8377317930797261,0.16091463658820496,0.0013535703288128102,1,0
18,700.1487999999999,701.5541,700.1288,0.8,0.0,,-1.0,-1.0,701.2689768900509,-0.0,0.0,0.75,1,0.0,1.0,-1,1.425299999999993,1.425299999999993,0.0,0.15390628513886576,13.648976387660273,3.183590417976181,0.4703291625162927,3.27935112233568e-07,6.672509862614317e-13,0.999999672061048,0,1
19,705.8819,706.3731,705.8754,0.8,0.125,,1.0,1.0,706.1049768900504,-0.125,1.0,1.0,0,1.0,0.0,-1,0.4977000000000089,0.4977000000000089,0.125,-0.3030323592559691,11.941810441216637,8.398971729973953,1.0055212983839075,0.8657038942527342,0.12950788369883412,0.004788222044897134,1,1
20,709.615,710.1332,709.5946,0.8,0.125,,1.0,1.0,709.8919768900499,-0.125,1.0,1.0,0,1.0,0.0,-1,0.538599999999974,0.538599999999974,0.125,-0.26873365092452933,10.937528453106781,9.452681106328964,0.9563882508330881,0.8769427200930426,0.12091692479884004,0.0021403551045988296,1,0
21,713.6312,714.0661,713.6142,0.8,0.25,,1.0,1.0,713.8459768900495,-0.25,1.0,1.0,0,1.0,0.0,-1,0.4519000000000233,0.4519000000000233,0.25,-0.34495765866877587,13.667485969760381,10.765579223632812,1.0109540649359228,0.835644761418341,0.16405056252941422,0.0003046760488445887,1,0
22,716.9309999999999,717.8913,716.9152,0.8,,0.0625,1.0,-1.0,717.6899768900491,0.0625,1.0,1.0,0,1.0,1.0,1,0.976099999999974,0.976099999999974,0.0625,-0.010505687227302326,15.290951685179381,8.24541017326216,1.2881917276995973,0.004966080392318488,0.024656347913542997,0.9703775716905833,0,1
23,721.7973000000001,722.2897,721.7754,0.8,0.25,,1.0,1.0,722.0489768900486,-0.25,1.0,1.0,0,1.0,0.0,-1,0.5143000000000484,0.5143000000000484,0.25,-0.2887834756788691,12.544024638097612,8.833846351504326,0.7055018301434159,0.9869175721598328,0.012946022162639832,0.00013640567395142226,1,1
24,725.1804,725.6872999999999,725.1757,0.8,,0.25,1.0,-1.0,725.4309768900482,0.25,1.0,1.0,0,1.0,1.0,1,0.5115999999999303,0.5115999999999303,0.25,-0.2910694641934428,13.758863153133994,9.51515375127395,1.0965569370504569,0.9115286479357694,0.0869020736183972,0.0015692784426074291,1,0
25,730.2633999999999,730.6025999999999,730.2446,0.8,1.0,,1.0,1.0,730.4169768900477,-1.0,1.0,1.0,0,1.0,0.0,-1,0.35799999999994725,0.35799999999994725,1.0,-0.4461169733561896,11.937326336508885,8.81831952041636,0.7734024748574776,0.9903570537325501,0.0096318295234674,1.1116740656820494e-05,1,0
26,734.98,735.3931,734.9632,0.8,0.25,,1.0,1.0,735.1459768900472,-0.25,1.0,1.0,0,1.0,0.0,-1,0.4298999999999751,0.4298999999999751,0.25,-0.36663255488301827,13.333163739201995,9.01631632472078,0.7705478872258006,0.9897401454814291,0.010160715126747573,9.913938865138953e-05,1,0
27,738.3298,738.7311,738.3308,0.8,1.0,,1.0,1.0,738.5539768900468,-1.0,1.0,1.0,0,1.0,0.0,-1,0.40030000000001564,0.40030000000001564,1.0,-0.3976144098948779,12.164524740536319,10.872354153792063,0.9715049098003337,0.985167178727989,0.014828980542929212,3.840726217976578e-06,1,0
29,748.3787000000001,748.743,748.3796000000001,0.8,1.0,,1.0,1.0,748.4889768900457,-1.0,1.0,1.0,0,1.0,0.0,-1,0.363399999999956,0.363399999999956,1.0,-0.4396150770280371,13.08320122706975,9.864430768079446,0.5372818790024606,0.9936613935152311,0.006338190483376428,4.1599868748198946e-07,1,0
30,751.8618,753.1218,751.8629,0.8,0.0625,,-1.0,-1.0,752.7139768900453,-0.0625,1.0,1.0,0,0.0,1.0,-1,1.2589000000000397,1.2589000000000397,0.0625,0.0999912335446981,12.940379132261803,7.982704289754232,1.2812706673746623,0.00026480597119002186,0.2800033974948151,0.7197317965311911,0,1
