,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,abs_contrast,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
0,610.3206,610.4435000000001,610.2048,0.8,0.0625,,-1.0,-1.0,610.2161461006914,-0.0625,1.0,1.0,0,0.0,1.0,-1,0.23870000000010805,0.23870000000010805,0.0625,-0.6221475809930489,14.64597631939069,3.9339569310347238,0.9782287494870612,0.9999907285541733,3.512657690265377e-06,5.7587820263553715e-06,1,0
1,616.3059000000001,616.5981,616.2901,0.8,1.0,,-1.0,-1.0,616.3681461006906,-1.0,1.0,1.0,0,0.0,1.0,-1,0.3079999999999927,0.3079999999999927,1.0,-0.511449283499566,13.235817314733195,4.762856922547022,0.8681810322758159,0.7717427041103009,0.0003483945612083981,0.22790890132238467,1,0
2,620.3532,620.9291000000001,620.3407000000001,0.8,,0.25,1.0,-1.0,620.4601461006902,0.25,1.0,1.0,0,1.0,1.0,1,0.5883999999999787,0.5883999999999787,0.25,-0.2303273359445232,13.475454930258175,3.7468774656454724,0.9313555437020528,0.19012725738059372,0.15249034438893097,0.6573823982245114,0,1
3,625.2389000000001,625.5859,625.2206,0.8,0.0,,-1.0,-1.0,625.2641461006897,-0.0,1.0,0.75,0,0.0,1.0,-1,0.3653000000000475,0.3653000000000475,0.0,-0.4373503277880269,15.39102150171344,3.4445404767990113,0.9538308735337605,0.30332332805560663,0.020765771119719386,0.6759109008186776,0,0
4,631.2025,631.4317,631.1898,0.8,,1.0,1.0,-1.0,631.1991461006891,1.0,1.0,1.0,0,1.0,1.0,1,0.2418999999999869,0.2418999999999869,1.0,-0.6163641316381439,14.995874283168533,4.043764171997706,0.6212463239253777,0.02484788795328005,0.00035870992512237657,0.9747934021155792,0,0
5,634.5384,634.8121,634.5271,0.8,0.0,,-1.0,-1.0,634.6141461006887,-0.0,1.0,0.75,0,0.0,1.0,-1,0.28499999999996817,0.28499999999996817,0.0,-0.5451551399915383,15.473869976250937,4.419847045342127,0.8755221808676638,0.048939853751311685,0.0001955130779766115,0.9508646331644408,0,0
6,638.5213,639.279,638.5097,0.8,0.25,,-1.0,-1.0,638.8101461006881,-0.25,1.0,1.0,0,0.0,1.0,-1,0.7693000000000438,0.7693000000000438,0.25,-0.11390426756222785,13.54142241207573,3.832850902279218,0.9908184479172164,0.009610739121712267,0.03541146716665004,0.9549777937055279,0,0
7,643.1544,643.7712,643.1379000000001,0.8,0.0625,,-1.0,-1.0,643.5661461006877,-0.0625,1.0,1.0,0,0.0,1.0,-1,0.6332999999999629,0.6332999999999629,0.0625,-0.19839051197270663,13.960685608494785,3.743707484006882,0.9701965960131755,0.05192426519107658,0.02589633931541878,0.9221793954874805,0,0
8,647.7208,648.1417,647.7205,0.8,,1.0,1.0,-1.0,647.9031461006872,1.0,1.0,1.0,0,1.0,1.0,1,0.4211999999999989,0.4211999999999989,1.0,-0.3755116374865522,15.172896309498146,4.033790298302969,0.7908188629118299,0.061316188029816907,0.00036558508699514376,0.9383182268769319,0,0
9,650.9678,651.2224000000001,650.9591,0.8,0.125,,-1.0,-1.0,651.0161461006868,-0.125,1.0,1.0,0,0.0,1.0,-1,0.26330000000007203,0.26330000000007203,0.125,-0.579549140893813,14.014591666916017,4.7174742221832275,1.6447342978830286,0.9998929195904274,0.00010708037218825093,3.124985653929309e-11,1,1
10,657.553,657.7882,657.533,0.8,,0.25,1.0,-1.0,657.5921461006861,0.25,1.0,1.0,0,1.0,1.0,1,0.25519999999994525,0.25519999999994525,0.25,-0.5931193299509685,18.50940741654855,3.796325606107712,0.7274672504501376,8.032465152560183e-07,0.02652568349487802,0.9734735132524606,0,1
