,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,abs_contrast,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
20,504.8341448705048,505.84324395050584,504.8112804905048,0.2,,0.25,-1.0,1.0,505.15276159000047,0.25,0.0,0.0,0,0.0,0.0,1,1.031963460001009,1.031963460001009,0.25,0.01366431996476238,4.315275633374509,6.498375614484151,0.3872935938943783,2.239365812485474e-09,5.582836563306837e-15,0.9999999977612788,1,0
24,537.5819697605376,542.6499629105426,537.5619717605375,0.2,,0.0625,-1.0,1.0,542.3907615900006,0.0625,1.0,1.0,0,0.0,0.0,1,5.087991150005109,5.087991150005109,0.0625,0.7065463472340507,5.016147906744563,1.9023910363515217,0.2360379923943001,1.598689308714214e-19,1.4230292090064826e-70,1.0000000000006821,1,0
25,546.8644080905468,557.3981879405574,546.8505761405469,0.2,,0.125,-1.0,1.0,547.7417615900006,0.125,1.0,1.0,0,0.0,0.0,1,10.547611800010486,10.547611800010486,0.125,1.0231541374073487,9.151637925822742,2.177982521057129,0.2788820686039651,1.8401372351038386e-32,1.2019763594594716e-143,1.0000000000006821,1,0
33,906.6624580209067,907.1071135509071,906.6387603909067,0.2,,1.0,1.0,-1.0,906.8517615900009,1.0,1.0,1.0,0,1.0,1.0,1,0.46835316000044713,0.46835316000044713,1.0,-0.3294265452190674,64.00506176444011,7.811495590209961,0.8435133125784919,1.0000000000006821,7.515786745598899e-68,2.0948061544005313e-20,2,1
34,910.0936815309101,910.5181724109106,910.07241699091,0.2,,1.0,1.0,-1.0,910.2797615900009,1.0,1.0,1.0,0,1.0,1.0,1,0.4457554200005234,0.4457554200005234,1.0,-0.35090336747507866,35.8953838562058,9.527120359738667,0.7395500560192719,0.9999998808714352,1.0374921301609186e-14,1.1912927544954156e-07,2,0
36,920.2099031409202,920.7590148909208,920.1990042309202,0.2,,0.0625,-1.0,1.0,920.5317615900009,0.0625,1.0,1.0,0,0.0,0.0,1,0.5600106600005574,0.5600106600005574,0.0625,-0.251803705966378,56.4837167761513,5.9911616484324135,0.5785768217594677,1.0000000000006821,2.528183267492718e-54,3.1699224475203234e-15,2,0
38,931.925864760932,932.6867886609327,931.9242649209319,0.2,,0.0,1.0,-1.0,932.3197615900009,0.0,1.0,0.75,0,1.0,1.0,1,0.7625237400008018,0.7625237400008018,0.0,-0.11774663068169904,5.039868075012098,6.7505570073281564,0.5723635933730372,0.06387780250759639,0.005030060430491283,0.93109213706258,1,1
39,935.8087097709358,936.2007372309362,935.8065766509358,0.2,,1.0,1.0,-1.0,935.985761590001,1.0,1.0,1.0,0,1.0,1.0,1,0.39416058000040266,0.39416058000040266,1.0,-0.4043268116759394,8.386485690856944,9.866812268892923,0.6033985692486813,0.004717399259798561,0.9940897535874125,0.001192847153506449,0,1
45,967.7235513009678,968.0892480609681,967.7143522209677,0.2,0.25,,1.0,1.0,967.869761590001,-0.25,0.0,0.0,0,1.0,0.0,-1,0.374895840000363,0.374895840000363,0.25,-0.42608937866330066,24.510336438035246,10.778997246424357,0.9524736149406287,0.995173603751316,0.00012337575301926522,0.00470302049641351,2,1
46,971.4568446009715,971.7509818509718,971.4400129509714,0.2,0.0,,1.0,1.0,971.4967615900009,-0.0,0.0,0.25,0,1.0,0.0,-1,0.31096890000037547,0.31096890000037547,0.0,-0.5072830425924456,38.62455723088479,11.164689739545187,0.8447151928119114,0.9999982336402947,1.268931931271775e-19,1.7663604799749892e-06,2,0
