,Unnamed: 0,subject,date,eid,probe,neuron_id,pid,region,task_responsive,task_roc,task_no_opto_roc,task_opto_roc,choice_no_stim_roc,choice_stim_roc,choice_stim_p,choice_no_stim_p,opto_modulated,opto_mod_full,opto_mod_roc,opto_mod_p
15,15.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,394,227781ff-b3d4-4380-bfed-00942195ca62,PAG,True,0.1975925650680405,0.2830417097107438,0.1051919956733369,0.0603696234337289,-0.2077114427860695,0.001157388935846,0.3330916373759561,False,False,-0.1593138874207189,0.0734633777677603
16,16.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,395,227781ff-b3d4-4380-bfed-00942195ca62,PAG,True,0.2003174957061697,0.1652489023760328,0.2358369388858843,0.0422190630475749,-0.0011016346837242,0.9862510575482532,0.4984708829534032,True,True,0.2747753699788582,4.5116946080112174e-11
17,17.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,410,227781ff-b3d4-4380-bfed-00942195ca62,PAG,True,0.3638463634562028,0.4313985020661157,0.2937314088696592,0.1177968062948391,0.1210376687988628,0.058309733436321,0.0589408061967329,False,True,-0.0541176664904863,0.2261174659700332
18,18.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,431,227781ff-b3d4-4380-bfed-00942195ca62,PAG,True,0.2621713568503105,0.2439872804752065,0.2811992969172525,0.0900585182001518,0.0362117981520966,0.5710864630443864,0.1487651346094489,False,True,0.1091850554968287,0.0669868613232329
19,19.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,455,227781ff-b3d4-4380-bfed-00942195ca62,PAG,True,0.1881007233452238,0.2155943310950414,0.1591485262303948,0.0744206036962342,0.0223880597014924,0.7261804732585206,0.2327971092072013,False,False,0.0707419397463002,0.1899282738249972
20,20.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,462,227781ff-b3d4-4380-bfed-00942195ca62,PAG,True,0.2148174296472453,0.2344718491735538,0.1938801379123851,0.2239230336892914,0.0091329068941008,0.8863977593230513,0.000330481403473,False,True,0.0578091966173361,0.5141377179437457
21,21.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,485,227781ff-b3d4-4380-bfed-00942195ca62,PAG,True,0.2055567941603913,0.2522113894628099,0.1613541103299081,0.0764703937580588,0.0561478322672348,0.3797773836312655,0.2201803138920839,False,False,0.0316216305496828,0.2202158616058239
22,22.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,489,227781ff-b3d4-4380-bfed-00942195ca62,PAG,True,0.4315774045448539,0.409768853305785,0.4564967550027041,0.271398816411545,0.2928926794598432,4.6132772230354005e-06,1.3531201176803413e-05,False,True,0.0755731368921774,0.2316645030150809
23,23.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,612,227781ff-b3d4-4380-bfed-00942195ca62,PAG,True,0.5564432223543401,0.5733551782024793,0.5390329232017306,-0.6159949747082356,-0.5464818763326226,1.2472028448411136e-17,5.277658071857344e-23,False,False,-0.0285412262156448,0.1708927694386941
24,24.0,ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,854,227781ff-b3d4-4380-bfed-00942195ca62,SCm,True,-0.4623897641696393,-0.4489443440082644,-0.4802342482422931,-0.170992164512183,-0.037597725657427,0.5564437945949087,0.0061156555078762,True,True,-0.0979287790697674,0.0118549581357222
