subject,date,eid,probe,pid,allen_acronym,region,neuron_id,mod_index,modulated,p_value,firing_rate,latency_peak,latency_peak_onset
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,MB,root,5,0.0,False,0.5533997319698825,15.522347108498987,,
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,MB,root,50,-0.8704000000000001,True,1.0984921972045925e-08,1.657873947435182,0.05806905012832431,0.01137658935476793
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,120,0.02279999999999993,False,0.20905633773850807,18.383184219098865,0.955900677226964,0.004312841484534147
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,126,0.0,False,1.0,37.13862495182502,,
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,138,0.06519999999999992,False,0.9100860936505935,1.1863073907428943,0.5884252245723474,0.0029647235160155105
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,143,-0.2884,True,0.044761045255049425,29.57336492068698,0.1696992449087702,0.01396165789992665
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,146,0.0,False,1.0,39.303667169504095,,
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,166,0.0,False,0.49251563954411637,2.886653557853673,,
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,224,0.01760000000000006,False,0.33724588035264447,7.248175763657971,0.46046971208579635,0.014300499150522228
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,231,0.3692,False,0.3356067527520048,4.987571051708806,0.5153984470198338,0.0779243850874991
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,258,0.1876,False,0.09870776455363439,38.69885443343738,0.5893889362750997,0.002970733122310776
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,259,0.020000000000000018,False,0.5125421070042803,43.305424690997455,,
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,293,0.18199999999999994,False,0.5745815805021516,0.9062822169013371,0.607625830053621,0.5689438424160471
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,306,-0.038799999999999946,False,0.32187079328860013,6.94150135394153,0.1907305800859831,0.18694542039156659
ZFM-05170,2022-12-08,dfa58635-10b6-48d2-b77b-c4022ad0899a,probe00,227781ff-b3d4-4380-bfed-00942195ca62,PAG,PAG,359,0.12719999999999976,False,0.6894848893846208,1.2144140067046862,0.09974069517375028,0.06543788933504402
