,Unnamed: 0.1,Unnamed: 0,diameter,baseline_subtracted,time,subject,expression,eid
41,41,41.0,68.7727527800203,4.293308303851766,3.5999999999999988,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
42,42,42.0,66.08601264390214,1.8227406435089155,3.6999999999999993,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
43,43,43.0,65.25915095087076,0.9752842661252475,3.799999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
44,44,44.0,64.78780517338518,0.4843893049030726,3.899999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
45,45,45.0,64.9692094699444,0.6744199719007076,3.999999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
46,46,46.0,68.19085575359651,0.2694727075358158,-0.5,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
47,47,47.0,68.56489071156098,0.6435076655002886,-0.4,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
48,48,48.0,68.07924871772327,0.3417039466299551,-0.3,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
49,49,49.0,67.64818596011541,-0.089358810977902,-0.2,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
50,50,50.0,67.10768787989709,-0.6298568911962255,-0.1,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
51,51,51.0,66.68273644794196,-1.054808323151355,-1.1102230246251563e-16,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
52,52,52.0,66.50782421223633,-1.2297205588569855,0.0999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
53,53,53.0,66.14634186123968,-1.5912029098536349,0.1999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
54,54,54.0,66.10419736771615,-1.633347403377165,0.2999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
55,55,55.0,65.9735028346278,-1.764041936465524,0.3999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
56,56,56.0,66.06107382676564,-1.6764709443276844,0.4999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
57,57,57.0,65.84283294376812,-1.8947118273251995,0.5999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
58,58,58.0,65.81608105801448,-1.9214637130788488,0.6999999999999997,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
59,59,59.0,65.79809614853073,-1.9394486225625915,0.7999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
60,60,60.0,65.60258251920561,-2.1349622518877074,0.8999999999999997,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
61,61,61.0,65.31307864354514,-2.424466127548172,0.9999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
62,62,62.0,64.94638871052297,-2.7911560605703523,1.0999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
63,63,63.0,64.78831086555994,-2.9492339055333754,1.1999999999999995,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
64,64,64.0,64.82108701053338,-2.916457760559952,1.2999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
65,65,65.0,65.05659790020994,-2.680946870883381,1.3999999999999997,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
66,66,66.0,65.4439663533142,-2.2935784177791203,1.4999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
67,67,67.0,65.81503151013884,-1.9225132609544853,1.5999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
68,68,68.0,66.01938937962058,-1.7181553914727512,1.6999999999999993,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
69,69,69.0,65.77036813709502,-1.9671766339983,1.7999999999999994,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
70,70,70.0,65.64883053027576,-2.0887142408175574,1.9,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
71,71,71.0,65.98985425876548,-2.861459666515489,2.0,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
72,72,72.0,66.11941640612852,-2.7318975191524486,2.1,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
73,73,73.0,66.28294847133483,-2.5683654539461336,2.2,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
74,74,74.0,66.33718578798648,-2.5141281372944886,2.2999999999999994,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
75,75,75.0,66.32429846668691,-2.527015458594061,2.3999999999999995,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
76,76,76.0,66.4849732643717,-2.366340660909269,2.499999999999999,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
77,77,77.0,66.55071378699371,-2.3006001382872703,2.599999999999999,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
78,78,78.0,66.28410812102652,-2.7189774971797425,2.7,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
79,79,79.0,65.95090521533747,-3.0521804028687898,2.7999999999999994,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
80,80,80.0,65.68863170497576,-3.314453913230497,2.8999999999999995,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
81,81,81.0,65.4101186565298,-3.5929669616764564,2.999999999999999,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
82,82,82.0,65.39126520804979,-3.6118204101564775,3.099999999999999,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
83,83,83.0,65.43349276648186,-3.5695928517244147,3.2,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
84,84,84.0,65.57057817180969,-3.432507446396581,3.299999999999999,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
85,85,85.0,66.18720985346904,-1.7341731925916504,3.399999999999999,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
