,log_likelihood,n_states,subject,pid
0,-19197.875052334635,2,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
1,-19039.155010013455,3,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
2,-18955.420441275714,4,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
3,-18913.396337929633,5,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
4,-18923.434176555358,6,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
5,-18905.47788976071,7,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
6,-18947.160456064594,8,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
7,-18968.26142128647,9,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
8,-18948.758041337525,10,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
9,-18891.43044550559,11,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
10,-18956.11839614125,12,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
11,-18841.45189029326,13,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
12,-18909.07546755681,14,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
13,-18851.03662985984,15,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
14,-18918.319073324634,16,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
15,-18895.160910465016,17,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
16,-18828.759005441785,18,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
17,-18889.936291403017,19,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
18,-18904.851157138462,20,ZFM-02600,ff02e36b-95e9-4985-a6e3-ba2977063496
0,-60121.714465714584,2,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
1,-59678.93758048505,3,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
2,-59291.013105602775,4,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
3,-59138.50290799354,5,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
4,-58842.052272705165,6,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
5,-58734.56428111179,7,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
6,-58774.36554673526,8,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
7,-58468.9669654372,9,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
8,-58405.08101844683,10,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
9,-58237.121738914546,11,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
10,-58143.08287643669,12,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
11,-58188.43520386238,13,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
12,-58053.92443893822,14,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
13,-58087.61861995497,15,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
14,-58068.41882149509,16,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
15,-58151.19318859305,17,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
16,-58123.78382369752,18,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
17,-58143.9041695918,19,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
18,-58103.69073194265,20,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
0,-6574.465672331687,2,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
1,-6479.027875149621,3,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
2,-6244.774316959111,4,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
3,-6181.615473902125,5,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
4,-6120.772353568557,6,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
5,-6123.061966513527,7,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
6,-6083.944454051759,8,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
7,-6111.564924441268,9,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
8,-6071.554418370473,10,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
9,-6030.088625406496,11,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
10,-6066.119877011919,12,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
11,-6072.050403608089,13,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
12,-6005.0980850981605,14,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
13,-6154.547719936891,15,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
14,-6009.562684457303,16,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
15,-6001.77450221359,17,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
16,-6046.685074993059,18,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
17,-6028.744524922836,19,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
18,-6002.53627242788,20,ZFM-04300,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda
0,-18784.33541366841,2,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
1,-18568.736101261522,3,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
2,-18278.93221254561,4,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
3,-18339.643614166052,5,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
4,-18138.41131063608,6,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
5,-18096.004409551046,7,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
6,-18059.72332018229,8,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
7,-17906.101203794766,9,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
8,-17900.899336079834,10,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
9,-17933.96366092038,11,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
10,-17968.05839674813,12,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
11,-17926.345435013995,13,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
12,-17866.149385057,14,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
13,-17901.85598631399,15,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
14,-17884.303679358454,16,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
15,-17804.222633138903,17,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
16,-17829.50506646991,18,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
17,-17764.076549939145,19,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
18,-17824.68757896518,20,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5
0,-20914.649679963943,2,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
1,-20795.82810136431,3,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
2,-20688.42631414752,4,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
3,-20767.02065125356,5,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
4,-20536.498814252394,6,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
5,-20516.893255712646,7,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
6,-20470.752452037494,8,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
7,-20531.776902774338,9,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
8,-20439.55662516925,10,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
9,-20404.49680446672,11,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
10,-20379.177903385407,12,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
11,-20370.72559002413,13,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
12,-20387.772726025218,14,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
13,-20355.994306263903,15,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
14,-20234.617107202088,16,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
15,-20385.233283668913,17,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
16,-20391.382710364585,18,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
17,-20341.82861709222,19,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
18,-20432.62602884596,20,ZFM-02181,60d5e964-4827-406b-af75-3b856edec162
0,-18976.815951582696,2,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
1,-18900.485761525502,3,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
2,-18755.517394835137,4,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
3,-18706.6286382771,5,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
4,-18601.138815841732,6,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
5,-18549.462035756227,7,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
6,-18490.382948987066,8,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
7,-18538.773648054015,9,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
8,-18483.413521677925,10,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
9,-18511.8291910084,11,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
10,-18491.431444922167,12,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
11,-18477.1943481385,13,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
12,-18471.056584458325,14,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
