,dg_spike_freq,time,subject,date,probe,pid
4,0.006462018647551352,0.125,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
5,5.480970178150819e-07,0.375,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
6,8.97441522315445e-14,0.625,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
7,4.2550593963277725e-23,0.875,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
8,4.487207612995578e-14,1.125,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
9,2.7404855377961705e-07,1.375,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
10,0.0032312833722845835,1.625,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
11,0.07676844257920651,1.875,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
12,0.07676899067613459,2.125,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
13,0.009693302019835934,2.375,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
14,0.14707514055923596,2.625,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
15,0.006462018647596224,2.875,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
16,5.480970178150819e-07,3.125,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
17,8.97441522315445e-14,3.375,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
18,4.255059396326907e-23,3.625,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
19,4.487207611577225e-14,3.875,ZFM-04300,2022-09-19,probe00,6b68ff0d-9014-4a81-b2c2-915ddfdba3a3
0,1.0194812742513023e-50,-0.875,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
1,8.654700998612169e-36,-0.625,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
2,1.418353132108969e-23,-0.375,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
3,4.487207611577225e-14,-0.125,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
4,2.7404850890754094e-07,0.125,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
5,0.003231009323775676,0.375,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
6,0.0735374332553411,0.625,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
7,0.003231009323775676,0.875,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
8,2.7404850890754094e-07,1.125,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
9,4.487207611577225e-14,1.375,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
10,1.418353132108969e-23,1.625,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
11,8.654700998612169e-36,1.875,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
12,1.0194812742513023e-50,2.125,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
13,1.0194812742513023e-50,2.375,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
14,8.654700998612179e-36,2.625,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
15,1.4183531321098345e-23,2.875,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
16,4.487207612995578e-14,3.125,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
17,2.7404855377961705e-07,3.375,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
18,0.0032312833722845835,3.625,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
19,0.07676844257911677,3.875,ZFM-04083,2022-07-19,probe00,87ddbc18-7a81-49f7-a9fb-d0add506ee27
0,0.07353770730393974,-0.875,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
1,0.006462566744569167,-0.625,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
2,0.07999972595140135,-0.375,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
3,0.15030587583450272,-0.125,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
4,0.006462292696060259,0.125,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
5,5.480970626871579e-07,0.375,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
