,psd_max,psd_mean,region,subject,date
1,23355.920206534567,7197.467704333285,Cortex,ZFM-04823,2022-11-30
2,1195.905285484059,543.8732201592936,Cortex,ZFM-04823,2022-11-29
3,4350.035364509147,1595.6223109758462,Cortex,ZFM-04823,2022-11-29
4,573.5881517448245,318.72358097047675,Hippocampus,ZFM-04823,2022-11-29
5,47574.08995280676,21963.764678507825,Thalamus,ZFM-04823,2022-11-29
6,9808.900127989955,4707.447121274317,Midbrain,ZFM-04811,2022-11-09
7,8568.970525464143,3622.607015184981,Cortex,ZFM-04811,2022-11-09
8,10085.976043704264,1943.8910812987226,Cortex,ZFM-04811,2022-11-08
9,189.0003582736338,92.75087904712893,Hippocampus,ZFM-04811,2022-11-08
10,387.48360379347713,136.82305611573503,Thalamus,ZFM-04811,2022-11-08
11,21854.031476846027,8807.766262008001,Midbrain,ZFM-04811,2022-11-08
12,707.7271132315235,424.62832682269925,Striatum,ZFM-04811,2022-11-07
13,2346.659051510983,972.3394769105373,Cortex,ZFM-04301,2022-10-14
14,2743.7419902364254,1293.3379399447936,Hippocampus,ZFM-04301,2022-10-14
15,16535.89916128988,5628.723504728483,Thalamus,ZFM-04301,2022-10-14
16,21910.327787393,5490.418395942988,Midbrain,ZFM-04301,2022-10-14
17,477.3786972177211,237.4307346455468,Cortex,ZFM-04301,2022-10-13
18,295.38623314034623,164.42015541360786,Amygdala,ZFM-04301,2022-10-12
19,2505.0240112667234,543.0623707279312,Thalamus,ZFM-04301,2022-10-12
20,75163.98361094133,13160.684804393964,Cortex,ZFM-04301,2022-10-12
21,23223.786490241433,8859.588260773906,Cortex,ZFM-04301,2022-10-11
22,885.7002201254691,332.73085765662034,Midbrain,ZFM-04301,2022-10-11
23,3519.6981827891586,1860.060461641553,Hippocampus,ZFM-04300,2022-09-22
24,4679.678446241783,1393.715321470037,Midbrain,ZFM-04300,2022-09-21
25,257.14286614590225,110.51023495671458,Amygdala,ZFM-04300,2022-09-20
