mutual_information,mi_over_baseline,time,region_1,region_2,region_pair,subject,eid,date,sert-cre
0.5107385407834917,-0.03486515498956677,0.475,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5646140007838879,0.019010305010829454,0.525,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4084804996481952,-0.13712319612486323,0.5750000000000001,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4998379005617677,-0.04576579521129076,0.625,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.6845649523673677,0.13896125659430925,0.675,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4701603656454204,-0.07544333012763804,0.7250000000000001,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.46232124649373285,-0.0832824492793256,0.775,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.43317030904575426,-0.11243338672730419,0.8250000000000001,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5313091205396114,-0.014294575233447016,0.875,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.2985233950771269,-0.24708030069593157,0.925,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.2505743164312475,-0.29502937934181095,0.9750000000000001,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4582099954034524,-0.08739370036960603,1.025,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.2652764946816491,-0.28032720109140935,1.0750000000000002,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.2831155014750604,-0.262488194297998,1.125,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.41070593600924843,-0.13489775976381002,1.1750000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4175627769696226,-0.12804091880343588,1.225,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.3080726306849644,-0.23753106508809407,1.275,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.443087374540054,-0.10251632123300447,1.3250000000000002,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.37879242128732676,-0.1668112744857317,1.375,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5188031015650791,-0.02680059420797931,1.4250000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4415824113134318,-0.10402128445962666,1.475,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4944803609373533,-0.051123334835705136,1.525,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4041564229701422,-0.14144727280291625,1.5750000000000002,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5108385337885731,-0.034765161984485315,1.625,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.6880349410959316,0.1424312453228731,1.6750000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.6624940843376714,0.11689038856461298,1.725,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.2898003151816658,-0.2558033805913926,1.775,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4305455780345226,-0.11505811773853586,1.8250000000000002,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.420060102903417,-0.12554359286964145,1.875,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4702442191611863,-0.07535947661187214,1.9250000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.3127952179099274,-0.23280847786313102,1.975,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5776717951875356,0.03206809941447719,2.0250000000000004,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.45191464189834973,-0.09368905387470872,2.075,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.40167289952914853,-0.14393079624390992,2.125,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5794015837895433,0.03379788801648487,2.175,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5250509271584369,-0.02055276861462152,2.225,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.3257533081173983,-0.21985038765566017,2.2750000000000004,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.40987563835446306,-0.1357280574185954,2.325,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4827715776536319,-0.06283211811942657,2.375,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5048657813246791,-0.040737914448379375,2.4250000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.6675909521082914,0.121987256335233,2.475,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5785359676528841,0.032932271879825614,2.5250000000000004,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5257802614234104,-0.01982343434964806,2.575,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.6066459010388866,0.06104220526582815,2.625,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4480917107877158,-0.09751198498534264,2.6750000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.8000052255096374,0.2544015297365789,2.725,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.40339767361810286,-0.1422060221549556,2.7750000000000004,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5597304459013077,0.014126750128249266,2.825,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5287253590814605,-0.016878336691597995,2.875,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5068986762106034,-0.03870501956245509,2.9250000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.7900742980402568,0.2444706022671983,2.975,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.7458822405070497,0.2002785447339912,3.0250000000000004,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.3791383425865193,-0.16646535318653916,3.075,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5473604279366882,0.001756732163629704,3.125,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.45898334842375094,-0.08662034734930751,3.1750000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.6900297829836449,0.14442608721058647,3.225,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.43863875732669283,-0.10696493844636562,3.2750000000000004,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5748612813873684,0.02925758561430991,3.325,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.6433499368324592,0.09774624105940077,3.375,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.5503429689906242,0.0047392732175657315,3.4250000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4870515998828037,-0.05855209589025473,3.475,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.48091816857019676,-0.06468552720286169,3.5250000000000004,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.44360515566948966,-0.10199854010356879,3.575,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.8495716489222216,0.30396795314916314,3.625,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.7339974250032111,0.18839372923015263,3.6750000000000003,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.35424175468859026,-0.1913619410844682,3.725,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.4591948420265902,-0.08640885374646823,3.7750000000000004,Amygdala,Hippocampus,Amygdala-Hippocampus,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
