mutual_information,mi_over_baseline,time,region_1,region_2,region_pair,subject,eid,date,sert-cre
0.05781742473912873,0.018419663303217655,-0.9750000000000001,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.03581165073153083,-0.003586110704380245,-0.925,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.04321993062827391,0.0038221691923628343,-0.875,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.04971652208635663,0.010318760650445555,-0.8250000000000001,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.02856602943978876,-0.010831731996122314,-0.775,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.04554927879634047,0.006151517360429397,-0.7250000000000001,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.034223107267913735,-0.005174654167997339,-0.675,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.03476920550799626,-0.004628555927914814,-0.625,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.04212545758018742,0.0027276961442763425,-0.5750000000000001,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.028943666784763743,-0.010454094651147331,-0.525,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.043848575930875384,0.00445081449496431,-0.475,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.029846794651352163,-0.009550966784558912,-0.42500000000000004,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
0.041472646132223664,0.00207488469631259,-0.375,Amyg.,HPC,Amyg.-HPC,ZFM-04080,08371a0c-22d9-4f6e-ac22-c15788b39180,2022-07-06,1
