,log_likelihood,n_states,subject,pid
18,-61383.38888347446,20,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
0,-12713.247747339667,2,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
1,-12515.428160103213,3,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
2,-12397.72835859953,4,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
3,-12282.547317051454,5,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
4,-12234.752147117371,6,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
5,-12177.878476814865,7,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
6,-12149.325699893898,8,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
7,-12132.774235643203,9,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
8,-12092.62491632948,10,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
9,-12055.462847347728,11,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
10,-12052.806711753849,12,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
11,-12063.932304973448,13,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
12,-12046.36850585648,14,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
13,-12055.606757093263,15,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
14,-12040.535923388506,16,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
15,-12019.830599259021,17,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
16,-12036.187649659618,18,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
17,-12036.418247815676,19,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
18,-12015.326564628245,20,ZFM-05170,30d9dfa6-6b48-4b6a-9407-d930dfc93fb1
0,-11859.38392139416,2,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
1,-11468.87530002254,3,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
2,-11364.35006327431,4,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
3,-11302.58287162568,5,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
4,-10954.770781957126,6,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
5,-10950.034941810138,7,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
6,-10889.938464901357,8,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
7,-10867.266952502649,9,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
8,-10877.784039394675,10,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
9,-10874.790562349279,11,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
10,-10860.406011085392,12,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
11,-10835.868128072756,13,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
12,-10856.279055890112,14,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
13,-10794.15309713583,15,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
14,-10824.965636311927,16,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
15,-10802.490134353247,17,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
16,-10843.94558542635,18,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
17,-10821.060736994705,19,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
18,-10837.635093863582,20,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
0,-41446.16881732886,2,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
1,-41142.28152404237,3,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
2,-40960.00102678873,4,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
3,-40882.302670796904,5,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
4,-40788.916511541975,6,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
5,-40765.973765389346,7,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
6,-40694.31753109696,8,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
7,-40567.12402313665,9,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
8,-40563.9986086421,10,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
9,-40464.03880133476,11,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
10,-40448.02728318322,12,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
11,-40375.51508509432,13,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
12,-40259.988731219215,14,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
13,-40322.89960885419,15,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
