,p_state,state,time,subject,pid,eid,region
0,0.08094918704819776,0,-0.95,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
1,0.0746449729189845,0,-0.8500000000000001,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
2,0.0721573387462796,0,-0.75,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
3,0.07168722445739081,0,-0.6500000000000001,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
4,0.07239332488574675,0,-0.55,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
5,0.08042491627452295,0,-0.45,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
6,0.09278701855086618,0,-0.35000000000000003,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
7,0.1043141581264658,0,-0.25,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
8,0.11305425982437277,0,-0.15000000000000002,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
9,0.11421553576807691,0,-0.05,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
10,0.10767106689817738,0,0.05,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
11,0.09361417671612303,0,0.15000000000000002,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
12,0.07644799938048906,0,0.25,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
13,0.0688383185837577,0,0.35000000000000003,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
14,0.07726098884858251,0,0.45,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
15,0.09927947255784772,0,0.55,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
16,0.12836574935481415,0,0.6500000000000001,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
17,0.15955141884036553,0,0.75,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
18,0.18656920787786657,0,0.8500000000000001,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
19,0.2071231875102141,0,0.95,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
20,0.22089843036168647,0,1.05,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
21,0.22980746906023866,0,1.1500000000000001,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
22,0.23478911732765323,0,1.25,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
23,0.23720433297389726,0,1.35,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
24,0.2390554447940892,0,1.4500000000000002,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
25,0.23959303584825214,0,1.55,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
26,0.235751228074772,0,1.6500000000000001,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
27,0.2289288761676991,0,1.75,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
28,0.22234203123499457,0,1.85,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
29,0.21477682331676848,0,1.9500000000000002,ZFM-04823,161253bd-5ac9-4f56-b53a-56e208786b26,c36510ff-b8ea-4d4c-9cc3-4bf10dcc373e,Frontal cortex
