,Unnamed: 0,diameter,baseline_subtracted,time,subject,expression,eid
0,0,136.85310493134742,-40.3872309078734,-0.5,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
1,1,153.40650772906338,-23.83382811015743,-0.4,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
2,2,182.0180161815288,4.777680342307955,-0.3,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
3,3,191.71665866370765,14.476322824486836,-0.2,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
4,4,190.16720207761333,12.926866238392556,-0.1,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
5,5,200.42349243533263,23.1831565961118,-1.1102230246251563e-16,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
6,6,211.2185112561152,33.97817541689435,0.0999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
7,7,209.9256278709552,32.6852920317344,0.1999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
8,8,186.9923816983554,9.752045859134563,0.2999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
9,9,184.41071008822476,7.170374249003927,0.3999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
10,10,197.26684064322956,20.026504804008717,0.4999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
11,11,226.50874786796925,49.26841202874844,0.5999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
12,12,245.431679280078,68.1913434408572,0.6999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
13,13,240.73702942447483,63.49669358525402,0.7999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
14,14,207.03852645241085,29.79819061319006,0.8999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
15,15,177.1642883282136,-0.076047511007205,0.9999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
16,16,177.13217977354284,-0.1081560656779464,1.0999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
17,17,182.3426779837583,5.102342144537497,1.1999999999999995,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
18,18,180.9299110959502,3.689575256729392,1.2999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
19,19,191.44927406124708,14.208938222026244,1.3999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
20,20,211.33087691105308,34.09054107183227,1.4999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
21,21,217.87466174159576,40.63432590237494,1.5999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
22,22,202.47038537438897,25.23004953516816,1.6999999999999993,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
23,23,190.97392280765837,13.73358696843752,1.7999999999999994,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
24,24,206.96084632039523,29.72051048117441,1.8999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
25,25,212.9628641893452,35.72252835012439,2.0,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
26,26,211.82212272041863,34.58178688119782,2.1,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
27,27,211.51251957842177,34.272183739200976,2.1999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
28,28,205.61315920465867,28.37282336543787,2.2999999999999994,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
29,29,214.5229302001753,37.28259436095447,2.3999999999999995,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
30,30,222.11196310325428,44.87162726403345,2.499999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
31,31,222.0895033461004,44.84916750687956,2.599999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
32,32,210.08057558457068,32.84023974534984,2.6999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
33,33,195.89250938031108,18.652173541090296,2.7999999999999994,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
34,34,200.85002349010296,23.60968765088214,2.8999999999999995,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
35,35,218.25077410934048,41.01043827011968,2.999999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
36,36,220.76249775550465,43.52216191628383,3.099999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
37,37,203.10220678824965,25.86187094902884,3.1999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
38,38,166.89355774149004,-10.346778097730777,3.299999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
39,39,143.2573731399208,-33.98296269930003,3.399999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
40,40,141.32251206526573,-35.91782377395508,3.499999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
41,41,153.58900500407375,-23.65133083514708,3.5999999999999988,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
42,42,181.34418121118784,4.10384537196703,3.6999999999999993,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
43,43,194.33501583204853,17.09467999282773,3.799999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
