,log_likelihood,n_states,region,subject,pid
15,-29063.012639629746,17,Hippocampus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
16,-29114.857663923307,18,Hippocampus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
17,-29030.822752463682,19,Hippocampus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
18,-29076.72486880318,20,Hippocampus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
0,-180563.9998233646,2,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
1,-177864.33161312834,3,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
2,-174790.65862327293,4,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
3,-174087.54388516734,5,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
4,-173368.92519664194,6,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
5,-172868.78258340748,7,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
6,-172365.00163475444,8,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
7,-172031.11330914596,9,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
8,-171633.1314878499,10,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
9,-171295.95971241,11,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
10,-170985.32960947667,12,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
11,-170800.26329402157,13,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
12,-170487.6774167094,14,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
13,-170314.9253391687,15,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
