,log_likelihood,n_states,region,subject,pid
13,-5431.301794819581,15,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
14,-5448.544862407887,16,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
15,-5453.155749730722,17,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
16,-5434.432932685956,18,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
17,-5442.005231100997,19,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
18,-5400.41711401915,20,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
0,-1605.2283118779274,2,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
1,-1574.7290356412418,3,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
2,-1571.3037741230453,4,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
3,-1565.9269493709073,5,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
4,-1561.5901660781499,6,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
5,-1560.277744914155,7,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
6,-1558.7523325931675,8,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
7,-1563.3936663684663,9,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
8,-1572.8175435041035,10,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
9,-1566.3706853557128,11,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
10,-1571.2933856486761,12,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
11,-1563.3143793703432,13,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
12,-1566.603857150603,14,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
13,-1575.5214545808626,15,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
14,-1576.1286254994911,16,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
15,-1567.2934506114268,17,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
16,-1573.8549833987213,18,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
17,-1578.2120729988226,19,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
18,-1575.598027696846,20,Hippocampus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
0,-1785.5643263731351,2,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
1,-1768.5939998405324,3,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
2,-1751.4585182720284,4,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
3,-1750.9645287948038,5,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
4,-1753.371017630715,6,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
5,-1740.7457244681243,7,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
6,-1749.0435930301715,8,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
7,-1756.2069427462557,9,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
8,-1742.8279816738454,10,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
9,-1740.9822292252047,11,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
10,-1739.080259139017,12,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
11,-1753.0309174750773,13,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
12,-1752.285107129661,14,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
13,-1740.2059793205306,15,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
14,-1749.7858528353186,16,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
15,-1753.2904247688518,17,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
16,-1753.2827849025932,18,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
17,-1744.695274089158,19,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
18,-1739.700292860507,20,Thalamus,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
0,-8684.131259005844,2,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
1,-8535.30471231728,3,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
2,-8439.450681528411,4,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
3,-8435.575369187247,5,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
4,-8312.774404345839,6,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
5,-8311.384595253234,7,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
6,-8285.011126310912,8,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
7,-8277.28225650604,9,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
