,log_likelihood,n_states,subject,pid,region
0,-1999.275079621707,2,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
1,-1857.0113245906023,3,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
2,-1833.0223358311584,4,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
3,-1825.868831665198,5,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
4,-1814.0810975887084,6,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
5,-1817.6076731606552,7,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
6,-1820.5826696412278,8,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
7,-1810.387912037435,9,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
8,-1798.2410173290061,10,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
9,-1811.157545562345,11,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
10,-1807.7920731242607,12,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
11,-1793.7853130527665,13,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
12,-1801.7835657092012,14,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
13,-1791.2897925987559,15,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
14,-1786.5737034835347,16,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
15,-1798.9548869317919,17,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
16,-1824.083488143156,18,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
17,-1789.7608018180308,19,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
18,-1826.4047367174014,20,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Frontal cortex
0,-4589.230342091746,2,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Striatum
1,-4087.103231788274,3,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Striatum
2,-3956.7929423823916,4,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Striatum
3,-3808.1348258978264,5,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Striatum
4,-3828.0463825320858,6,ZFM-05181,82e65b04-7839-4722-918c-9b8ecad2ff46,Striatum
