,log_likelihood,n_states,subject,pid,region
8,-698.8660319965943,10,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
9,-701.1262640081396,11,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
10,-682.2692300812885,12,ZFM-04083,307f9e04-5beb-4a91-a3be-fe3b5c37ed7c,Striatum
0,-952.3473980930576,2,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
1,-909.0963344059605,3,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
2,-894.3708815654911,4,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
3,-884.8498441256452,5,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
4,-851.6224751854909,6,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
5,-858.4699855681138,7,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
6,-854.295552376906,8,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
7,-846.3229223451849,9,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
8,-848.0406331554482,10,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
9,-850.9451257721167,11,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
10,-849.1733796249993,12,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Hippocampus
0,-7250.139455017028,2,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
1,-7069.88480406126,3,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
2,-6900.698354761811,4,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
3,-6763.975604544754,5,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
4,-6719.7896399902,6,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
5,-6701.59374546998,7,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
6,-6728.85055212793,8,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
7,-6629.5815845943625,9,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
8,-6656.587640254231,10,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
9,-6597.85925705567,11,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
10,-6603.532420948664,12,ZFM-04083,5d2acdf4-b7f6-4545-b72c-ee88a64b81c5,Thalamus
0,-2680.909903563171,2,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
1,-2653.0344084558533,3,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
2,-2599.142400689879,4,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
3,-2567.4668208696703,5,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
4,-2550.1649155104597,6,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
5,-2546.3144357219194,7,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
6,-2543.580047793582,8,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
7,-2502.1097461243576,9,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
