,log_likelihood,n_states,subject,pid,region
1,-4690.959817033308,3,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
2,-4663.747610552366,4,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
3,-4633.538801898461,5,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
4,-4635.346444834658,6,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
5,-4652.316690241923,7,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
6,-4608.601277437776,8,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
7,-4612.449367876659,9,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
8,-4592.021309571897,10,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
9,-4605.6864859138495,11,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
10,-4606.976212107832,12,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Sensory cortex
0,-1800.261348204478,2,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
1,-1768.1240483440947,3,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
2,-1748.5373709708729,4,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
3,-1749.4921680874077,5,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
4,-1740.862758384058,6,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
5,-1746.3224582850967,7,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
6,-1739.3159728506519,8,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
7,-1738.6796282771033,9,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
8,-1739.6509764595444,10,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
9,-1752.7641443582656,11,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
