,Unnamed: 0.1,Unnamed: 0,sniffing,baseline_subtracted,time,subject,expression,eid
0,0,0,526.9959402490534,-177.23816529612586,-0.5,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
1,1,1,636.9800322504015,-67.25407329477783,-0.4,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
2,2,2,730.0506134692716,25.81650792409243,-0.3,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
3,3,3,761.4539829192846,57.21987737410527,-0.2,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
4,4,4,745.426362220591,41.19225667541177,-0.1,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
5,5,5,751.1265308144943,46.89242526931511,-1.1102230246251563e-16,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
6,6,6,820.3186382709099,116.0845327257306,0.0999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
7,7,7,857.1927470426272,152.95864149744793,0.1999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
8,8,8,783.9489972239152,79.71489167873592,0.2999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
9,9,9,708.3563427966928,4.122237251513615,0.3999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
10,10,10,688.5629208766526,-15.671184668526722,0.4999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
11,11,11,745.5604687504169,41.32636320523769,0.5999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
12,12,12,764.0703159776665,59.83621043248729,0.6999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
13,13,13,739.1699585742431,34.93585302906388,0.7999999999999998,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
14,14,14,662.0727229205543,-42.161382624625006,0.8999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
15,15,15,585.5311307396448,-118.70297480553435,0.9999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
16,16,16,630.5906865472655,-73.64341899791377,1.0999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
17,17,17,676.3312417896465,-27.90286375553283,1.1999999999999995,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
18,18,18,724.3129929764448,20.07888743126548,1.2999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
19,19,19,777.8319527424137,73.59784719723447,1.3999999999999997,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
20,20,20,758.0977935029449,53.863687957765706,1.4999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
21,21,21,735.3854944148419,31.151388869662583,1.5999999999999996,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
22,22,22,634.794949977582,-69.43915556759731,1.6999999999999993,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
23,23,23,576.5202145089396,-127.71389103623956,1.7999999999999994,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
24,24,24,612.1993360173042,-92.03476952787511,1.9,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
25,25,25,646.2716855635534,-57.96241998162584,2.0,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
26,26,26,670.7675739449652,-33.46653160021405,2.1,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
27,27,27,652.4280846395017,-51.80602090567759,2.2,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
28,28,28,614.874206119548,-89.3598994256312,2.2999999999999994,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
29,29,29,692.6499029572873,-11.584202587891983,2.3999999999999995,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
30,30,30,798.732786448233,94.49868090305384,2.499999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
31,31,31,852.181452371079,147.9473468258998,2.599999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
32,32,32,804.950195200607,100.71608965542784,2.7,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
33,33,33,723.1540681537568,18.919962608577546,2.7999999999999994,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
34,34,34,714.7023769749541,10.468271429774877,2.8999999999999995,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
35,35,35,731.3406018814021,27.106496336222897,2.999999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
36,36,36,758.4368357842901,54.202730239110856,3.099999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
37,37,37,664.5452400140709,-39.68886553110831,3.2,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
38,38,38,531.6630545288099,-172.57105101636938,3.299999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
39,39,39,477.3068921608229,-226.9272133843563,3.399999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
40,40,40,539.5739313030016,-164.66017424217762,3.499999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
41,41,41,635.1943570146766,-69.03974853050262,3.5999999999999988,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
42,42,42,753.2976018282909,49.06349628311167,3.6999999999999993,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
43,43,43,781.4154274085154,77.18132186333605,3.799999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
44,44,44,753.9517019075543,49.717596362375055,3.899999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
45,45,45,737.9907713465909,33.75666580141163,3.999999999999999,ZFM-02181,0,299bf322-e039-4444-8f04-67fde247ae5e
46,46,46,230.2729129781322,4.406491802962555,-0.5,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
47,47,47,265.92421909261367,40.05779791744407,-0.4,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
48,48,48,243.6975607978044,17.831139622634733,-0.3,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
49,49,49,190.82317549285443,-35.04324568231519,-0.2,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
50,50,50,197.4833851159005,-28.38303605926917,-0.1,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
51,51,51,233.0871999963929,7.220778821223323,-1.1102230246251563e-16,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
52,52,52,267.894041964818,42.02762078964832,0.0999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
53,53,53,264.1330601407132,38.26663896554354,0.1999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
54,54,54,253.75551888817208,27.88909771300245,0.2999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
55,55,55,236.4100193580261,10.543598182856451,0.3999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
56,56,56,230.93537319945145,5.068952024281789,0.4999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
57,57,57,214.98894230563744,-10.877478869532194,0.5999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
58,58,58,259.3047179851881,33.43829681001849,0.6999999999999997,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
59,59,59,263.39104421194514,37.52462303677548,0.7999999999999998,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
60,60,60,291.9175582752971,66.05113710012748,0.8999999999999997,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
61,61,61,312.58245384118976,86.71603266602011,0.9999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
62,62,62,330.034043650564,104.1676224753944,1.0999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
63,63,63,303.4979082292661,77.63148705409648,1.1999999999999995,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
64,64,64,260.9109594369354,35.0445382617658,1.2999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
65,65,65,250.52632159071183,24.659900415542232,1.3999999999999997,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
66,66,66,278.477992592179,52.61157141700938,1.4999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
67,67,67,260.2343420508891,34.36792087571947,1.5999999999999996,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
68,68,68,261.3153136975937,35.44889252242405,1.6999999999999993,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
69,69,69,287.9315200124456,62.06509883727592,1.7999999999999994,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
70,70,70,295.3356521040388,69.46923092886911,1.9,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
71,71,71,282.3079944821778,56.44157330700815,2.0,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
72,72,72,264.433977683731,38.56755650856135,2.1,ZFM-02181,0,91e629f5-f161-44e4-8dd0-15954c602f02
