,time,coact,region1,region2,opto,region_pair,subject,date
18,2.7000000000000015,0.27906976744186046,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
19,2.9000000000000012,0.32558139534883723,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
20,3.100000000000002,0.3488372093023256,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
21,3.300000000000001,0.325,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
22,3.5000000000000013,0.3902439024390244,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
23,3.7000000000000015,0.3902439024390244,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
24,3.9000000000000017,0.3953488372093023,Frontal cortex,Amygdala,0,Amygdala-Frontal cortex,ZFM-04820,2022-09-13
0,-0.9,0.3695652173913043,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
1,-0.7,0.4883720930232558,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
2,-0.4999999999999999,0.38636363636363635,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
3,-0.2999999999999998,0.5,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
4,-0.09999999999999976,0.5909090909090909,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
5,0.10000000000000042,0.5,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
6,0.3000000000000004,0.5833333333333334,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
7,0.5000000000000003,0.6590909090909091,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
8,0.7000000000000005,0.5777777777777777,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
9,0.9000000000000007,0.6,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
10,1.100000000000001,0.6122448979591837,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
11,1.3000000000000007,0.5833333333333334,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
12,1.5000000000000009,0.7551020408163265,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
13,1.700000000000001,0.625,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
14,1.9000000000000008,0.5714285714285714,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
15,2.100000000000001,0.625,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
16,2.300000000000001,0.5217391304347826,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
17,2.5000000000000013,0.5319148936170213,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
18,2.7000000000000015,0.5555555555555556,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
19,2.9000000000000012,0.34782608695652173,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
20,3.100000000000002,0.2916666666666667,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
21,3.300000000000001,0.22727272727272727,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
22,3.5000000000000013,0.3111111111111111,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
23,3.7000000000000015,0.28,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
24,3.9000000000000017,0.23809523809523808,Frontal cortex,Hippocampus,1,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
0,-0.9,0.4583333333333333,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
1,-0.7,0.40425531914893614,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
2,-0.4999999999999999,0.47619047619047616,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
3,-0.2999999999999998,0.5555555555555556,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
4,-0.09999999999999976,0.4444444444444444,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
5,0.10000000000000042,0.45652173913043476,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
6,0.3000000000000004,0.4888888888888889,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
7,0.5000000000000003,0.4666666666666667,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
8,0.7000000000000005,0.5555555555555556,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
9,0.9000000000000007,0.46808510638297873,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
10,1.100000000000001,0.37777777777777777,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
11,1.3000000000000007,0.4883720930232558,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
12,1.5000000000000009,0.5714285714285714,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
13,1.700000000000001,0.4772727272727273,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
14,1.9000000000000008,0.5238095238095238,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
15,2.100000000000001,0.35555555555555557,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
16,2.300000000000001,0.37777777777777777,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
17,2.5000000000000013,0.4883720930232558,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
18,2.7000000000000015,0.4222222222222222,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
19,2.9000000000000012,0.4318181818181818,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
20,3.100000000000002,0.4888888888888889,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
21,3.300000000000001,0.5476190476190477,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
22,3.5000000000000013,0.5777777777777777,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
23,3.7000000000000015,0.5714285714285714,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
24,3.9000000000000017,0.5813953488372093,Frontal cortex,Hippocampus,0,Frontal cortex-Hippocampus,ZFM-04820,2022-09-13
0,-0.9,0.4,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
1,-0.7,0.3488372093023256,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
2,-0.4999999999999999,0.36363636363636365,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
3,-0.2999999999999998,0.4883720930232558,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
4,-0.09999999999999976,0.5714285714285714,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
5,0.10000000000000042,0.4583333333333333,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
6,0.3000000000000004,0.6041666666666666,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
7,0.5000000000000003,0.6666666666666666,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
8,0.7000000000000005,0.7083333333333334,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
9,0.9000000000000007,0.7551020408163265,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
10,1.100000000000001,0.7083333333333334,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
11,1.3000000000000007,0.62,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
12,1.5000000000000009,0.7708333333333334,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
13,1.700000000000001,0.5833333333333334,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
14,1.9000000000000008,0.5918367346938775,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
15,2.100000000000001,0.6326530612244898,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
16,2.300000000000001,0.5957446808510638,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
17,2.5000000000000013,0.5652173913043478,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
18,2.7000000000000015,0.48936170212765956,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
19,2.9000000000000012,0.391304347826087,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
20,3.100000000000002,0.3617021276595745,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
21,3.300000000000001,0.3488372093023256,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
22,3.5000000000000013,0.36363636363636365,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
23,3.7000000000000015,0.28,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
24,3.9000000000000017,0.23255813953488372,Amygdala,Hippocampus,1,Amygdala-Hippocampus,ZFM-04820,2022-09-13
0,-0.9,0.4186046511627907,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
1,-0.7,0.3695652173913043,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
2,-0.4999999999999999,0.425,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
3,-0.2999999999999998,0.425531914893617,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
4,-0.09999999999999976,0.35555555555555557,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
5,0.10000000000000042,0.32608695652173914,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
6,0.3000000000000004,0.4222222222222222,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
7,0.5000000000000003,0.4318181818181818,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
8,0.7000000000000005,0.5116279069767442,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
9,0.9000000000000007,0.5333333333333333,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
10,1.100000000000001,0.3695652173913043,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
11,1.3000000000000007,0.4090909090909091,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
12,1.5000000000000009,0.44680851063829785,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
13,1.700000000000001,0.45652173913043476,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
14,1.9000000000000008,0.4897959183673469,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
15,2.100000000000001,0.5333333333333333,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
16,2.300000000000001,0.5208333333333334,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
17,2.5000000000000013,0.6,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
