,time,p_state_change,p_down_state_change,p_up_state_change,region,subject,pid
11,1.3000000000000003,0.039022403156812616,0.040978935149433536,0.039022403156812616,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
12,1.5,0.030533014332611706,0.04718424197816167,0.030533014332611706,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
13,1.7000000000000002,0.025491423148768247,0.0517345971671781,0.025491423148768247,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
14,1.9,0.028961955789370587,0.055120472799770726,0.028961955789370587,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
15,2.1,0.03866666328900216,0.05652836915786366,0.03866666328900216,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
16,2.3000000000000003,0.04303150876537585,0.055656027410798066,0.04303150876537585,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
17,2.5,0.04274775357189732,0.047703520469909104,0.04274775357189732,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
18,2.7,0.04133066009850554,0.041357984412195896,0.04133066009850554,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
19,2.9000000000000004,0.045167468028463324,0.03860889253405243,0.045167468028463324,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
20,3.1,0.04756085473314387,0.04054526449919164,0.04756085473314387,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
21,3.3000000000000003,0.04354907251208834,0.044031076697269,0.04354907251208834,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
22,3.5,0.03398823272139149,0.0447507916807314,0.03398823272139149,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
23,3.7,0.029879578020093847,0.04394243946486837,0.029879578020093847,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
24,3.9000000000000004,0.03318523373051306,0.0394614270320391,0.03318523373051306,Striatum,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b
0,-0.9,0.01394243946486837,0.003589512543626868,0.01394243946486837,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
1,-0.7000000000000001,0.011835484566158651,0.003589512543626868,0.011835484566158651,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
2,-0.5,0.0075789472371878466,0.006994717346780489,0.0075789472371878466,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
3,-0.30000000000000004,0.0035908508498730153,0.00883020191293914,0.0035908508498730153,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
4,-0.1,0.003052277881912119,0.006949060424334029,0.003052277881912119,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
5,0.1,0.004619321506414795,0.003003944346973364,0.004619321506414795,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
6,0.30000000000000004,0.0053806784935852055,0.0005855681966535042,0.0053806784935852055,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
7,0.5,0.006950398730580176,4.8333534938754906e-05,0.006950398730580176,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
8,0.7000000000000001,0.0064977863825276105,8.997553864677273e-05,0.0064977863825276105,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
9,0.9,0.0035008753112262428,0.0010798225484140883,0.0035008753112262428,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
10,1.1,0.003003944346973364,0.004839428913132014,0.003003944346973364,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
11,1.3000000000000003,0.004037768228499733,0.00798154599961425,0.004037768228499733,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
12,1.5,0.0025110283014589275,0.00492806614553264,0.0025110283014589275,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
13,1.7000000000000002,0.0016640524388214447,0.0021623217093204713,0.0016640524388214447,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
14,1.9,0.005423658803539371,0.0050167033779332645,0.005423658803539371,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
15,2.1,0.010399922149934111,0.009062706854274486,0.010399922149934111,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
16,2.3000000000000003,0.008828863606692992,0.009724514748710488,0.008828863606692992,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
17,2.5,0.0034995370049800954,0.009642921825943401,0.0034995370049800954,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
18,2.7,0.0006298868128538169,0.00788769187630569,0.0006298868128538169,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
19,2.9000000000000004,9.131384489292015e-05,0.0074916483110333675,9.131384489292015e-05,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
20,3.1,0.0005412495804531915,0.0064977863825276105,0.0005412495804531915,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
21,3.3000000000000003,0.0024210527628121545,0.002962302343265346,0.0024210527628121545,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
22,3.5,0.004035091616007438,0.0005842298904073568,0.004035091616007438,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
23,3.7,0.003005282653219511,4.5656922446460075e-05,0.003005282653219511,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
24,3.9000000000000004,0.0035451939274265556,1.3383062461474176e-06,0.0035451939274265556,Sensory cortex,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
0,-0.9,0.0857740564803268,0.07654195763068974,0.0857740564803268,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
1,-0.7000000000000001,0.08265220836393983,0.07238208737159645,0.08265220836393983,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
2,-0.5,0.08613535498348643,0.06766505522513439,0.08613535498348643,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
3,-0.30000000000000004,0.08524470428805071,0.06607296539272177,0.08524470428805071,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
4,-0.1,0.0773517955208371,0.08133587698941348,0.0773517955208371,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
5,0.1,0.06956548015599141,0.09339669688715883,0.06956548015599141,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
6,0.30000000000000004,0.06793348513282882,0.08523666341661229,0.06793348513282882,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
7,0.5,0.07678284518790476,0.07642188842918637,0.07678284518790476,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
8,0.7000000000000001,0.08186037237206885,0.07065927864998191,0.08186037237206885,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
9,0.9,0.07852835421541665,0.06948472539302948,0.07852835421541665,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
10,1.1,0.06832671575153218,0.0717799123451833,0.06832671575153218,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
11,1.3000000000000003,0.061852238763956485,0.06705411011009123,0.061852238763956485,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
12,1.5,0.059866838741034475,0.06144139371972705,0.059866838741034475,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
13,1.7000000000000002,0.058794060502253914,0.07539039941571105,0.058794060502253914,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
14,1.9,0.05584047148534797,0.09020202593663479,0.05584047148534797,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
15,2.1,0.06282680621624878,0.09192819475962413,0.06282680621624878,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
16,2.3000000000000003,0.07815199259910811,0.0882325889600703,0.07815199259910811,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
17,2.5,0.08025724537920735,0.07856577589002162,0.08025724537920735,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
18,2.7,0.07439505181292094,0.06453082060809083,0.07439505181292094,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
19,2.9000000000000004,0.06537814924913112,0.05741153002858909,0.06537814924913112,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
20,3.1,0.05911954830520805,0.057441771059483865,0.05911954830520805,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
21,3.3000000000000003,0.06529085032297663,0.058529487111298184,0.06529085032297663,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
22,3.5,0.07336356279944561,0.05506102199413358,0.07336356279944561,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
23,3.7,0.07608800697639101,0.05324615917647301,0.07608800697639101,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
24,3.9000000000000004,0.07412794917751112,0.05995146105469665,0.07412794917751112,Striatum,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80
0,-0.9,0.03722185802916971,0.02279052847148688,0.03722185802916971,Hippocampus,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e
1,-0.7000000000000001,0.03753027195780784,0.026280344554341147,0.03753027195780784,Hippocampus,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e
