pid,eid,probe,subject,neuron_id,acronym,dist_soma,region,spread,v_above,v_below,upper_lim,lower_lim,type
3ac05dd2-a294-4939-a837-93fe5ca543b6,cce8c6b0-2695-42d3-bc35-af35b4546c65,probe00,ZFM-04300,1297,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.09800000000000009,-0.098630134781746,0.02903225741559449,0.04200000000000012,-0.055999999999999966,WS1
3ac05dd2-a294-4939-a837-93fe5ca543b6,cce8c6b0-2695-42d3-bc35-af35b4546c65,probe00,ZFM-04300,1301,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.05900000000000005,-0.599999986588953,0.09999999776482574,0.024000000000000105,-0.03499999999999995,NS
3ac05dd2-a294-4939-a837-93fe5ca543b6,cce8c6b0-2695-42d3-bc35-af35b4546c65,probe00,ZFM-04300,1313,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.12300000000000011,0.0,0.529411746298568,0.023000000000000104,-0.1,NS
3ac05dd2-a294-4939-a837-93fe5ca543b6,cce8c6b0-2695-42d3-bc35-af35b4546c65,probe00,ZFM-04300,1316,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.13200000000000012,-1.199999973177906,0.0,0.07200000000000015,-0.05999999999999997,WS1
3ac05dd2-a294-4939-a837-93fe5ca543b6,cce8c6b0-2695-42d3-bc35-af35b4546c65,probe00,ZFM-04300,1345,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.08000000000000007,0.599999986588953,-0.8999999798834296,0.037000000000000116,-0.042999999999999955,WS1
3ac05dd2-a294-4939-a837-93fe5ca543b6,cce8c6b0-2695-42d3-bc35-af35b4546c65,probe00,ZFM-04300,1353,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.1180000000000001,0.3771428487130576,-0.8999999798834297,0.07100000000000015,-0.04699999999999996,WS1
3ac05dd2-a294-4939-a837-93fe5ca543b6,cce8c6b0-2695-42d3-bc35-af35b4546c65,probe00,ZFM-04300,1571,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.1100000000000001,0.599999986588955,-1.199999973177906,0.04300000000000012,-0.06699999999999998,WS1
3ac05dd2-a294-4939-a837-93fe5ca543b6,cce8c6b0-2695-42d3-bc35-af35b4546c65,probe00,ZFM-04300,1626,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.10100000000000009,,0.5294117528726081,0.0170000000000001,-0.08399999999999999,Und.
6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,7d962737-6858-4d85-9420-c83d20e3ff0a,probe00,ZFM-04300,1167,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.07500000000000007,0.8999999798834296,-0.599999986588953,0.05200000000000013,-0.022999999999999937,WS2
6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,7d962737-6858-4d85-9420-c83d20e3ff0a,probe00,ZFM-04300,1203,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.10400000000000009,-0.3582089472172868,-0.2999999932944775,0.08200000000000016,-0.021999999999999936,WS1
6b68ff0d-9014-4a81-b2c2-915ddfdba3a3,7d962737-6858-4d85-9420-c83d20e3ff0a,probe00,ZFM-04300,1289,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.10300000000000009,0.0,0.0,0.05100000000000013,-0.05199999999999996,NS
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,942,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.06400000000000006,-0.599999986588953,0.0,0.03100000000000011,-0.032999999999999946,WS1
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,954,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.029000000000000026,,,0.014000000000000096,-0.01499999999999993,NS
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,994,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.08300000000000007,-0.599999986588953,,0.06400000000000014,-0.018999999999999934,Und.
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,998,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.039000000000000035,,0.0,0.0190000000000001,-0.019999999999999934,WS1
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,1002,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.09200000000000008,0.3039999932050702,,0.07400000000000015,-0.017999999999999933,Und.
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,1017,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.07600000000000007,0.2999999932944765,-0.2999999932944775,0.05300000000000013,-0.022999999999999937,WS1
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,1039,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.07500000000000007,0.599999986588953,-0.599999986588953,0.037000000000000116,-0.03799999999999995,NS
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,1043,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.06600000000000006,0.2999999932944775,-0.2769230707333637,0.022000000000000103,-0.043999999999999956,WS1
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,1045,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.09800000000000009,-0.4888888779613704,,0.07900000000000015,-0.018999999999999934,Und.
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,1053,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.08300000000000007,0.0,0.0,0.024000000000000105,-0.05899999999999997,NS
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,1590,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.15400000000000014,-0.4235294121591486,-0.22499999497085774,0.11000000000000018,-0.043999999999999956,WS1
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,1592,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.09100000000000008,-0.23999999463558103,,0.07200000000000015,-0.018999999999999934,Und.
366c7c11-5509-443f-b07b-dabc9dcfd53e,73fa004c-eac3-4b34-997a-9b4268990474,probe00,ZFM-04820,1594,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.1200000000000001,0.18857144670827036,,0.10500000000000018,-0.01499999999999993,Und.
87ddbc18-7a81-49f7-a9fb-d0add506ee27,bd02e951-760a-448d-9c52-3f2990f9cf42,probe00,ZFM-04083,242,CA1,[-0.1  -0.08 -0.06 -0.04 -0.02  0.    0.02  0.04  0.06  0.08  0.1 ],CA1,0.09600000000000009,0.2999999932944775,-0.2999999932944772,0.037000000000000116,-0.05899999999999997,NS
