,psd_max,psd_mean,region,subject,date
1,2521.1144295397503,1126.1772833992218,Cortex,ZFM-04820,2022-09-16
2,6709.909311866436,2399.2489513232654,Striatum,ZFM-04820,2022-09-16
3,105.31059658978671,57.46865088007053,Cortex,ZFM-04820,2022-09-16
4,5347.441703211406,2403.176036941394,Striatum,ZFM-04820,2022-09-16
5,9627.277431697974,3317.8438618591645,Cortex,ZFM-04820,2022-09-15
6,485.862374766512,278.0784683167968,Hippocampus,ZFM-04820,2022-09-15
7,1458.9481867815205,728.4898150375165,Thalamus,ZFM-04820,2022-09-15
8,977.5506785521437,402.3064281455969,Midbrain,ZFM-04820,2022-09-15
9,12188.152852148893,4786.3463108015785,Cortex,ZFM-04820,2022-09-14
10,7808.286612687326,3178.7556906583814,Striatum,ZFM-04820,2022-09-14
11,255.60182154647813,139.11175295677631,Midbrain,ZFM-04820,2022-09-14
12,592.7998950154843,207.35338030133238,Amygdala,ZFM-04820,2022-09-13
13,53.69059310742226,18.927283340365403,Hippocampus,ZFM-04820,2022-09-13
14,15048.292957827645,5611.893590878013,Cortex,ZFM-04820,2022-09-13
15,1741.2047388056296,644.6467354953295,Midbrain,ZFM-05492,2023-02-10
16,7287.3976676616385,2376.4424864684215,Cortex,ZFM-05492,2023-02-10
17,1582.7587425880122,682.7739464798243,Striatum,ZFM-05492,2023-02-10
18,343.6557576142499,230.67763928104256,Cortex,ZFM-05492,2023-02-09
19,732.6575579832206,362.7609852360705,Midbrain,ZFM-05492,2023-02-08
20,1261.0224172186904,402.49496539405897,Cortex,ZFM-05492,2023-02-08
21,1386.063459549337,514.0570169356741,Hippocampus,ZFM-05492,2023-02-08
22,305.99838574250873,201.9265017335841,Thalamus,ZFM-05492,2023-02-08
23,1022.1415870062053,509.6728676150609,Thalamus,ZFM-05492,2023-02-07
24,2204.5698463480826,663.0050048314787,Cortex,ZFM-05492,2023-02-07
25,342.25098444065264,124.78251642953782,Midbrain,ZFM-05495,2023-02-03
26,2410.4118698372013,1383.0755284461532,Cortex,ZFM-05495,2023-02-03
27,540.70536739108,224.1981745576693,Hippocampus,ZFM-05495,2023-02-02
28,2535.4887019874345,982.3946923154224,Midbrain,ZFM-05495,2023-02-02
29,12659.30155651507,5264.5876937837675,Midbrain,ZFM-05495,2023-02-02
30,54838.511344851846,25290.436833430536,Cortex,ZFM-05495,2023-01-31
31,6302.30685190338,2886.7764962396827,Amygdala,ZFM-05495,2023-01-31
32,1128.0630205070777,511.96415179546057,Cortex,ZFM-05182,2023-01-24
33,5794.29743005456,2479.947058919025,Hippocampus,ZFM-05182,2023-01-24
34,2221.446353800866,788.1027889025032,Thalamus,ZFM-05182,2023-01-24
35,92.1448534368869,45.765997274037304,Hippocampus,ZFM-05182,2023-01-24
36,61.61635304511845,31.670626301196798,Thalamus,ZFM-05182,2023-01-24
37,7600.999166088137,2933.638035020553,Hippocampus,ZFM-05181,2023-01-13
38,357.4065856204271,227.49803863081266,Midbrain,ZFM-05181,2023-01-12
39,1892.9788611629801,1184.6606063180534,Cortex,ZFM-05181,2023-01-12
40,3923.5351111158043,1659.5830274583327,Striatum,ZFM-05181,2023-01-12
41,73635.15327354566,35151.59481765966,Cortex,ZFM-05181,2023-01-10
42,2646.143277944261,920.8474944224279,Amygdala,ZFM-05181,2023-01-10
43,8603.563682435644,3500.448556052619,Cortex,ZFM-05169,2022-11-16
44,1366.342880671581,543.0288394031107,Midbrain,ZFM-05169,2022-11-16
45,1246.8582175959907,446.4276922188469,Midbrain,ZFM-05169,2022-11-16
46,1355.7106605008244,706.4265536152424,Cortex,ZFM-05169,2022-11-15
