time,state_incr,state_decr,subject,pid,region
-0.9750000000000001,-0.045,0.04799999999999999,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.925,-0.045,0.02799999999999997,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.875,-0.045,0.02799999999999997,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.8250000000000001,-0.045,0.02799999999999997,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.775,-0.045,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.7250000000000001,-0.024999999999999998,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.675,-0.024999999999999998,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.625,-0.024999999999999998,-0.01200000000000001,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.5750000000000001,-0.024999999999999998,-0.01200000000000001,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.525,-0.024999999999999998,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.475,-0.024999999999999998,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.42500000000000004,-0.0049999999999999975,-0.01200000000000001,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.375,-0.0049999999999999975,-0.01200000000000001,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.32500000000000007,0.015,-0.05200000000000002,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.275,0.035,-0.05200000000000002,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.225,0.075,-0.03200000000000003,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.17500000000000002,0.075,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.125,0.05500000000000001,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.07500000000000001,0.05500000000000001,-0.01200000000000001,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
-0.025,0.075,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
0.025,0.05500000000000001,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
0.07500000000000001,0.075,-0.01200000000000001,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
0.125,0.075,0.00799999999999998,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
0.17500000000000002,0.05500000000000001,0.02799999999999997,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
0.225,0.075,-0.01200000000000001,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
0.275,0.115,-0.03200000000000003,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499,Midbrain
