,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
0,25.363296750025363,36.68493114003669,36.13461951003614,0.8,1.0,,1.0,1.0,36.316102780001,-1.0,0.0,0.0,0,1.0,0.0,-1,0.5503116300005502,0.5503116300005502,1.7406086910624596,13.246137639391181,10.937187167008718,1.0395426039544433,0.2387676387120931,0.7612323511471135,1.0140793305964427e-08,2,0
1,44.066026290044064,44.43978891004444,44.04716151004405,0.8,,0.25,1.0,-1.0,44.223102780001014,0.25,0.0,0.0,0,1.0,1.0,1,0.39262740000039287,0.39262740000039287,1.5939806041120475,15.830661579474464,8.792451564470927,0.7120216538354021,0.5665511208217748,0.3415333778993748,0.09191550127885043,1,1
2,51.54911124005155,52.03956219005204,51.55011114005155,0.8,1.0,,1.0,1.0,51.759102780001015,-1.0,0.0,0.0,0,1.0,0.0,-1,0.48945105000048983,0.48945105000048983,1.6897092645197838,14.420307665225664,11.170586462815603,1.158297710426923,0.5489248924694384,0.3326378376233692,0.11843726990719239,2,1
3,56.515181250056514,56.996899740056996,56.50904853005651,0.8,0.125,,1.0,1.0,56.615102780001024,-0.125,0.0,0.0,0,1.0,0.0,-1,0.4878512100004855,0.4878512100004855,1.688287386492891,13.306635146436623,12.947165393829346,0.923564242944423,0.5600147539763384,0.3382138102671987,0.10177143575646298,2,0
4,59.94847122005995,60.37552851006038,59.94933780005995,0.8,0.25,,1.0,1.0,,-0.25,0.0,0.0,0,1.0,0.0,-1,0.4261907100004265,0.4261907100004265,1.6296039788377705,15.55615347911281,14.077650451660157,1.3371184632537283,0.5656963285841959,0.3407407668967951,0.09356290451900884,2,0
5,63.11505453006311,63.575175180063574,63.11098827006311,0.8,0.25,,1.0,1.0,63.25310278000103,-0.25,0.0,0.0,0,1.0,0.0,-1,0.4641869100004641,0.4641869100004641,1.666692889254921,13.822967901069635,10.730180195967357,0.8160160351862089,0.5679030984806864,0.34185161250469553,0.09024528901461816,1,1
6,68.16464952006817,68.4953164500685,68.15328399006816,0.8,0.25,,1.0,1.0,68.13810278000102,-0.25,0.0,0.0,0,1.0,0.0,-1,0.3420324600003397,0.3420324600003397,1.5340673239803273,13.856464087882618,12.084097735087077,0.6072690658915635,0.5522823349415723,0.33498718101674957,0.11273048404167807,1,0
7,73.2976695000733,73.56937566007358,73.29656961007329,0.8,0.0625,,1.0,1.0,73.16110278000103,-0.0625,0.0,0.0,0,1.0,0.0,-1,0.272806050000284,0.272806050000284,1.4358539974089424,14.405380615092945,12.660310395558675,0.802085001378613,0.5540719239668819,0.33581419413675156,0.11011388189636667,1,0
8,78.33079947007833,78.73352586007873,78.32120043007832,0.8,,0.0625,-1.0,1.0,78.48310278000103,0.0625,0.0,0.0,0,0.0,0.0,1,0.4123254300004078,0.4123254300004078,1.6152401205599674,14.276717001200392,10.032591700553894,0.5574846708425506,0.5559440349749643,0.33658892305000754,0.10746704197502828,1,0
9,84.1970461200842,84.81128469008482,84.1958129100842,0.8,0.0,,1.0,1.0,84.41410278000104,-0.0,0.0,0.25,0,1.0,0.0,-1,0.6154717800006182,0.6154717800006182,1.7892081448855697,13.29890312845641,9.832052505016327,0.9221189849821934,0.5517403179638879,0.3347304108654079,0.11352927117070435,1,0
10,92.41332441009241,92.8051518900928,92.39305977009239,0.8,,1.0,1.0,-1.0,92.53510278000105,1.0,0.0,0.0,0,1.0,1.0,1,0.41209212000040907,0.41209212000040907,1.6149943100522286,14.392025542928861,11.339264305432637,0.8992777490894418,0.5530279598621592,0.3344811561814309,0.11249088395640985,1,0
11,95.62980273009563,96.21607743009622,95.62370334009563,0.8,0.25,,1.0,1.0,95.49110278000106,-0.25,0.0,0.0,0,1.0,0.0,-1,0.5923740900005896,0.5923740900005896,1.7725960545489414,16.190961501975845,14.797404114405314,1.6159950168377475,0.5525392688734445,0.335094020108106,0.11236671101844936,2,1
12,99.72959271009974,100.18221411010018,99.7013288700997,0.8,0.25,,1.0,1.0,99.75610278000106,-0.25,0.0,0.0,0,1.0,0.0,-1,0.4808852400004753,0.4808852400004753,1.6820414473072849,15.527857334000247,12.28820408185323,1.8461624579201763,0.5683744656750106,0.3422078611191211,0.08941767320586827,2,0
13,105.8956760401059,106.35699657010636,105.8966426101059,0.8,,0.125,1.0,-1.0,106.11810278000107,0.125,0.0,0.0,0,1.0,1.0,1,0.4603539600004609,0.4603539600004609,1.6630918833383814,13.918246062501085,9.547629443804423,0.7094022601351399,0.5688351616842616,0.34256912589788613,0.08859571241785223,1,1
14,110.17891434011018,110.55421014011056,110.17788111011018,0.8,0.25,,1.0,1.0,110.28710278000106,-0.25,0.0,0.0,0,1.0,0.0,-1,0.37632903000037743,0.37632903000037743,1.5755677210641839,14.38312082784103,12.070804897944132,0.7053242152115436,0.5513876485061471,0.33459097810354627,0.11402137339030673,1,0
15,117.01189764011701,117.37129503011737,116.99149968011699,0.8,1.0,,1.0,1.0,117.13810278000106,-1.0,0.0,0.0,0,1.0,0.0,-1,0.37979535000037856,0.37979535000037856,1.5795496431773572,14.711243154905183,11.16570212841034,0.8968396250605642,0.5530517828101126,0.33533914314237856,0.11160907404750904,1,0
16,124.17828093012417,124.64636745012464,124.17178158012418,0.8,,0.0625,1.0,-1.0,124.42910278000107,0.0625,0.0,0.0,0,1.0,1.0,1,0.4745858700004675,0.4745858700004675,1.6763148036828823,13.792720634080576,7.524469872315724,0.7375403787645286,0.55216153462672,0.3349227558385568,0.1129157095347233,1,0
17,128.5113475801285,129.20404497012922,128.49038301012848,0.8,0.0,,-1.0,-1.0,128.67410278000108,-0.0,1.0,0.25,1,0.0,1.0,-1,0.713661960000735,0.713661960000735,1.8534925483723714,13.45402325064572,9.483253757158915,1.0455234847995272,0.550414950332172,0.33388955427995104,0.11569549538787698,2,1
18,133.22744259013322,133.42995567013344,133.22100990013323,0.8,1.0,,1.0,1.0,133.1361027800011,-1.0,0.0,0.0,0,1.0,0.0,-1,0.20894577000021286,0.20894577000021286,1.3200335834999315,16.167481588465087,14.064189132054647,0.990363620728463,0.5515152965725598,0.3305003821238294,0.11798432130361076,2,0
19,137.8941758701379,138.93470514013893,137.86664529013788,0.8,0.0,,1.0,1.0,138.0391027800011,-0.0,1.0,0.25,1,1.0,0.0,-1,1.068059850001049,1.068059850001049,2.0285955895810424,15.577853922706781,11.164814813931782,0.9500983124852616,0.5596939645306279,0.33594321001471295,0.10436282545465914,2,0
20,147.26033916014725,147.6973621201477,147.24020784014724,0.8,1.0,,1.0,1.0,147.4241027800011,-1.0,0.0,0.0,0,1.0,0.0,-1,0.4571542800004522,0.4571542800004522,1.6600627901038663,14.814132106487879,10.878614922364553,0.9800060842633543,0.5267178274477736,0.3095419500397294,0.16374022251249706,1,1
21,150.99336582015098,151.29086940015128,150.99253257015098,0.8,0.125,,-1.0,-1.0,,-0.125,0.0,0.0,0,0.0,1.0,-1,0.2983368300002951,0.2983368300002951,1.474706870789324,15.36451988965534,12.888215510050456,1.5080106079626028,0.5523697122370654,0.3348020848409571,0.11282820292197754,2,1
